Inglese,Italiano
you,tu
i,io
the,il
to,a
a,un
it,esso
and,e
that,quello
of,di
is,è
in,in
what,cosa
we,noi
me,mi
this,questo
he,lui
for,per
my,mio
on,su
have,avere
your,tuo
do,fare
was,era
no,No
not,non
be,essere
are,sei
don,assistente
know,sapere
can,potere
with,con
but,ma
all,tutti
so,così
just,appena
there,là
here,qui
they,loro
like,come
get,ottenere
she,lei
go,andare
if,Se
right,Giusto
out,fuori
about,di
up,su
at,in
him,lui
now,adesso
one,uno
come,venire
well,bene
her,suo
how,come
yeah,si
will,volere
got,avuto
want,volere
think,pensare
as,come
see,vedere
did,fatto
good,Buono
who,chi
why,perché
from,da
let,permettere
his,il suo
yes,sì
when,quando
going,andando
time,tempo
an,un
okay,bene
back,Indietro
look,Guarda
us,noi
would,voluto
them,loro
where,dove
were,erano
take,prendere
then,poi
had,avevo
or,o
been,stato
our,nostro
gonna,andando
tell,raccontare
really,veramente
man,uomo
some,alcuni
say,dire
hey,Hey
could,potevo
d,d
didn,Didn
by,di
need,bisogno
something,qualcosa
has,ha
too,pure
more,Di più
way,modo
down,in basso
make,fare
very,molto
never,mai
only,solo
people,la gente
over,terminato
because,perché
little,poco
please,per favore
love,amore
should,dovrebbe
mean,significare
said,disse
sorry,spiacente
give,dare
off,spento
am,sono
thank,Grazie
any,qualunque
two,Due
even,anche
much,tanto
doing,facendo
sure,Sicuro
thing,cosa
these,queste
help,aiuto
first,primo
into,in
anything,qualsiasi cosa
still,ancora
find,scoprire
life,vita
nothing,niente
sir,signore
day,giorno
god,Dio
work,opera
their,loro
uh,uh
again,ancora
maybe,può essere
must,dovere
before,prima
other,Altro
wait,aspettare
stop,fermare
call,chiamata
after,dopo
won,ha vinto
talk,parlare
away,via
than,di
thought,pensiero
home,casa
night,notte
put,mettere
great,grande
those,quelli
last,Ultimo
better,meglio
everything,Tutto quanto
told,detto
mr.,Sig.
new,nuovo
things,le cose
always,sempre
keep,conservare
long,lungo
years,anni
leave,partire
does,fa
money,i soldi
around,in giro
doesn,non lo fa
name,nome
place,luogo
ever,sempre
feel,Tatto
guys,ragazzi
father,padre
guy,tipo
made,fatto
old,vecchio
isn,non è
which,quale
big,grande
lot,quantità
done,fatto
hello,ciao
nice,simpatico
believe,ritenere
girl,ragazza
someone,qualcuno
fine,bene
thanks,Grazie
wanted,ricercato
kind,tipo
coming,In arrivo
house,Casa
every,ogni
ok,ok
through,attraverso
being,essendo
course,corso
stay,restare
left,sinistra
dad,papà
enough,abbastanza
happened,è accaduto
came,è venuto
may,Maggio
mother,madre
wrong,sbagliato
world,mondo
bad,cattivo
might,potrebbe
three,tre
today,oggi
listen,ascoltare
another,altro
understand,comprendere
hear,ascoltare
remember,ricordare
ask,Chiedi
own,possedere
same,stesso
show,mostrare
else,altro
kill,uccisione
talking,parlando
found,trovato
next,prossimo
getting,ottenere
care,cura
car,macchina
looking,"analizzare, cercare, guardare"
son,figlio
try,Tentativo
woman,donna
went,andato
hi,Ciao
dead,morto
many,molti
mind,mente
wasn,era
friend,amico
best,migliore
mom,mamma
hell,inferno
morning,mattina
trying,provando
boy,ragazzo
together,insieme
yourself,te stesso
job,lavoro
saw,sega
family,famiglia
real,vero
without,privo di
baby,bambino
room,camera
wouldn,non lo farebbe
already,già
move,spostare
most,maggior parte
seen,visto
live,abitare
miss,Perdere
actually,in realtà
huh,eh
shit,merda
both,Entrambi
heard,sentito
once,una volta
ready,pronto
head,testa
called,chiamata
used,Usato
idea,idea
knew,conosceva
hold,presa
happy,felice
door,porta
such,come
fuck,Fanculo
brother,fratello
also,anche
pretty,bello
bit,po
took,ha preso
haven,porto
yet,ancora
men,uomini
whole,totale
start,inizio
use,utilizzo
while,mentre
since,da
wife,moglie
days,giorni
guess,indovinare
tomorrow,Domani
matter,questione
meet,incontrare
bring,portare
tonight,questa sera
everyone,tutti
run,correre
wanna,voglio
hard,difficile
ah,Ah
alone,da solo
myself,me stesso
school,scuola
gone,andato
um,um
end,fine
saying,detto
phone,Telefono
play,giocare a
looks,sembra
couldn,non poteva
fucking,cazzo
problem,problema
few,pochi
friends,gli amici
gotta,devo
ago,fa
open,aprire
anyone,chiunque
killed,ucciso
hope,speranza
face,viso
until,fino a
lost,perso
police,Polizia Stradale
excuse,scusa
turn,giro
business,Attività commerciale
case,Astuccio
wants,vuole
says,dice
TRUE,VERO
die,morire
heart,cuore
soon,presto
each,ogni
worry,preoccupazione
later,dopo
year,anno
watch,guarda
music,musica
hand,mano
having,avendo
probably,probabilmente
beautiful,bellissimo
doctor,medico
sit,sedersi
eat,mangiare
thinking,pensiero
young,giovane
second,secondo
working,Lavorando
water,acqua
person,persona
part,parte
kids,bambini
late,tardi
stuff,roba
exactly,Esattamente
under,sotto
death,Morte
minute,minuto
pay,pagare
crazy,pazzo
forget,dimenticare
everybody,tutti
kid,ragazzo
change,modificare
gave,hanno dato
happen,accadere
damn,dannazione
five,cinque
drink,bere
far,lontano
knows,conosce
its,suo
whatever,qualunque cosa
eyes,occhi
shut,chiuso
aren,are
hit,colpo
taking,prendendo
easy,facile
times,volte
check,dai un'occhiata
hands,mani
minutes,minuti
deal,affare
different,diverso
means,significa
point,punto
inside,dentro
makes,fa
asked,domandò
somebody,qualcuno
mine,il mio
making,fabbricazione
body,corpo
afraid,paura
sleep,dormire
chance,opportunità
dear,caro
quite,abbastanza
four,quattro
anyway,comunque
close,chiudere
ain,ain
party,partito
fun,divertimento
against,contro
word,parola
comes,arriva
important,importante
set,impostare
shall,deve
story,storia
number,numero
daughter,figlia
least,meno
waiting,in attesa
hurt,offendere
wish,desiderare
moment,momento
fight,combattere
week,settimana
husband,marito
girls,ragazze
rest,riposo
married,sposato
fire,fuoco
game,gioco
nobody,nessuno
mr,Sig
children,bambini
side,lato
stand,In piedi
read,leggere
though,anche se
cut,tagliare
started,cominciato
sister,sorella
supposed,ipotetico
between,fra
child,bambino
goes,si reca
hours,ore
speak,parlare
women,donne
behind,dietro a
almost,quasi
truth,verità
blood,sangue
able,capace
lady,signora
anymore,più
playing,giocando
gets,prende
shot,sparo
reason,Motivo
trouble,problemi
break,rompere
war,la guerra
city,città
walk,camminare
town,cittadina
trust,fiducia
dr.,Dr.
met,incontrato
office,ufficio
question,domanda
brought,portato
yours,il tuo
welcome,Benvenuto
high,alto
wow,oh!
couple,coppia
half,metà
died,morto
cool,fresco
free,libero
either,o
seems,sembra
power,potenza
whoa,whoa
bye,Ciao
buy,acquistare
telling,racconto
honey,miele
tried,provato
front,davanti
team,squadra
answer,Rispondere
gun,pistola
boys,ragazzi
line,linea
send,Spedire
news,notizia
stupid,stupido
bed,letto
hurry,fretta
full,completo
months,mesi
save,Salva
sometimes,A volte
become,diventare
along,lungo
hate,odiare
food,cibo
outside,fuori
light,leggero
l,l
needs,esigenze
dog,cane
country,nazione
clear,chiaro
order,ordine
em,Em
fact,fatto
lord,signore
captain,Capitano
six,sei
hot,caldo
funny,divertente
black,Nero
mrs.,Sig.ra.
alive,vivo
pick,scegliere
feeling,sensazione
living,vita
cause,causa
ahead,avanti
lose,perdere
king,re
plan,Piano
dinner,cena
sighs,sospira
sort,ordinare
leaving,in partenza
shouldn,non dovrebbe
running,in esecuzione
boss,capo
alright,Bene
promise,promettere
taken,prese
safe,sicuro
ma,Ma
book,prenotare
sent,spedito
white,bianca
hour,ora
anybody,nessuno
small,piccolo
perfect,Perfetto
cause,causa
lives,vite
special,speciale
parents,genitori
s,S
john,John
himself,lui stesso
perhaps,forse
sounds,suoni
serious,grave
sick,malato
company,azienda
ha,ah
scared,impaurito
uncle,zio
poor,povero
red,rosso
past,passato
earth,terra
possible,possibile
shoot,sparare
touch,tocco
sound,suono
top,superiore
ass,culo
laughs,ride
cannot,non può
asking,chiedendo
win,vincita
glad,lieto
control,controllo
hmm,Hmm
human,umano
drive,guidare
hair,capelli
jack,Jack
bitch,cagna
luck,fortuna
murder,omicidio
happens,accade
air,aria
ten,dieci
daddy,papà
finally,finalmente
chuckles,Ride
fast,veloce
cold,freddo
seem,sembrare
laughing,ridendo
words,parole
hospital,Ospedale
street,strada
hang,appendere
dance,danza
meeting,riunione
till,fino
others,altri
catch,catturare
follow,Seguire
sense,senso
sex,sesso
lie,menzogna
evening,sera
master,maestro
known,conosciuto
dream,sogno
write,Scrivi
million,milione
voice,voce
sweet,dolce
rather,piuttosto
felt,provato
sign,cartello
lucky,fortunato
somewhere,in qualche luogo
bet,scommessa
o,o
jesus,Gesù
longer,più a lungo
calling,chiamata
worked,lavorato
quiet,tranquillo
looked,guardato
less,meno
pull,tiro
beat,colpo
careful,attento
coffee,caffè
return,Restituzione
secret,segreto
weeks,settimane
weren,non
date,Data
seeing,vedendo
fall,cade
given,dato
ooh,ooh
fault,colpa
straight,dritto
takes,prende
song,canzone
future,futuro
gentlemen,gentiluomini
loved,amato
changed,cambiato
road,strada
calm,calma
wonderful,meraviglioso
mad,pazzo
turned,trasformato
drop,gocciolare
ladies,le signore
learn,imparare
step,fare un passo
absolutely,assolutamente
early,presto
explain,spiegare
clean,pulito
piece,pezzo
yesterday,ieri
throw,gettare
picture,immagine
land,sbarcare
feet,piedi
wonder,meraviglia
questions,domande
speaking,A proposito di
worth,di valore
darling,tesoro
dude,tipo
giving,dando
president,Presidente
eye,occhio
quick,Presto
moving,in movimento
figure,figura
state,stato
strong,forte
sam,Sam
none,nessuno
amazing,Stupefacente
ones,quelli
works,lavori
act,atto
needed,necessario
weird,strano
law,legge
worried,preoccupato
report,rapporto
goodbye,arrivederci
missing,mancante
choice,scelta
happening,in corso
chief,capo
wedding,nozze
strange,strano
general,generale
pain,dolore
am,sono
kidding,prendere in giro
decided,deciso
ya,ya
pass,passaggio
tired,stanco
class,classe
officer,ufficiale
kept,tenuto
wake,veglia
worse,peggio
busy,occupato
eh,eh
mistake,errore
kiss,bacio
court,Tribunale
building,costruzione
finish,finire
during,durante
age,età
ship,nave
caught,catturato
marry,sposare
meant,significava
sell,vendere
dark,scuro
watching,Guardando
system,sistema
suppose,Supponiamo
evidence,evidenza
movie,film
ride,cavalcata
t,t
completely,completamente
mouth,bocca
totally,totalmente
birthday,compleanno
tv,tv
forgive,perdonare
born,nato
imagine,immaginare
information,informazione
instead,Invece
definitely,decisamente
security,sicurezza
certainly,di certo
film,film
month,mese
lying,giacente
unless,a meno che
train,treno
seven,Sette
wear,indossare
clothes,Abiti
michael,Michael
hotel,Hotel
christmas,Natale
attack,attacco
hasn,Hasn
round,il giro
expect,aspettarsi
sing,cantare
terrible,terribile
george,Giorgio
bag,borsa
history,storia
blue,blu
near,vicino
broke,rotto
station,stazione
seriously,sul serio
forever,per sempre
david,David
frank,Franco
except,tranne
thinks,pensa
message,Messaggio
entire,tutto
joe,Joe
table,tavolo
talked,parlato
across,attraverso
rock,roccia
lovely,bello
handle,maneggiare
middle,mezzo
buddy,compagno
paid,pagato
protect,proteggere
using,usando
floor,pavimento
ran,corso
swear,imprecare
spend,Spendere
situation,situazione
ring,squillo
anywhere,dovunque
dangerous,pericoloso
bill,conto
york,York
army,esercito
lead,piombo
bought,comprato
finished,finito
fair,giusto
sun,sole
letter,lettera
fool,stolto
attention,Attenzione
club,club
simple,semplice
interesting,interessante
space,spazio
test,test
box,scatola
group,gruppo
single,separare
sitting,seduta
marriage,matrimonio
join,partecipare
fear,paura
d,d
peace,pace
forgot,dimenticato
force,forza
short,breve
normal,normale
charlie,Charlie
present,presente
enjoy,divertiti
mike,Mike
crime,crimine
horse,cavallo
ground,terra
american,americano
count,contare
area,la zona
charge,carica
honor,onore
lunch,il pranzo
miles,miglia
radio,Radio
idiot,idiota
ball,sfera
surprise,sorpresa
paper,carta
key,chiave
boat,barca
quickly,velocemente
gold,oro
bar,sbarra
fish,pesce
mark,marchio
tom,Tom
wearing,logorante
crying,pianto
accident,incidente
government,governo
eight,otto
fell,caduto
cover,copertina
certain,certo
interested,interessato
deep,profondo
star,stella
sea,mare
agree,essere d'accordo
problems,i problemi
detective,detective
prison,prigione
major,maggiore
stick,bastone
offer,offerta
difficult,difficile
smart,inteligente
personal,personale
record,disco
stopped,fermato
hide,nascondere
whether,se
bank,banca
trip,viaggio
relax,relax
america,America
public,pubblico
list,elenco
afternoon,pomeriggio
brain,cervello
fix,aggiustare
bastard,bastardo
proud,orgoglioso
tea,Tè
service,servizio
screaming,urlando
forward,inoltrare
angry,arrabbiato
park,parco
soul,anima
fighting,battagliero
peter,Peter
rich,ricco
agent,agente
blow,soffio
paul,Paolo
dress,vestire
mary,Maria
missed,perse
scene,scena
killing,omicidio
standing,in piedi
saved,salvato
mm,mm
respect,rispetto
killer,uccisore
ice,Ghiaccio
mess,disordine
tough,difficile
feels,sente
church,Chiesa
sad,triste
cell,cellula
drunk,ubriaco
share,Condividere
camera,telecamera
mm-hmm,mm-hmm
within,entro
card,carta
fly,volare
ben,ben
girlfriend,fidanzata
laugh,ridere
smell,odore
broken,rotte
mum,mamma
honest,onesto
often,spesso
starting,di partenza
calls,chiamate
y,y
spent,speso
third,Terzo
english,inglese
visit,visita
mama,mamma
judge,giudice
window,finestra
hungry,Affamato
dare,Osa
relationship,relazione
moved,mosso
prove,dimostrare
private,privato
wall,parete
seat,posto a sedere
i-i,i-i
position,posizione
lieutenant,tenente
realize,rendersi conto
lt,lt
especially,specialmente
machine,macchina
walking,a passeggio
art,arte
pleasure,piacere